"subj_idx","level","absLevel","levelMean","periodicity","nEvents","rt","response"
1,2,2,3.69,"Periodic",10,3.321,1
1,2,2,3.69,"Periodic",8,2.429,1
1,-1,1,-1.845,"Aperiodic",15,4.384,0
1,4,4,7.38,"Periodic",7,2.202,1
1,4,4,7.38,"Periodic",8,2.533,1
1,-1,1,-1.845,"Aperiodic",8,2.709,1
1,-1,1,-1.845,"Aperiodic",13,3.929,1
1,4,4,7.38,"Aperiodic",8,2.606,1
1,-4,4,-7.38,"Aperiodic",8,2.291,1
1,-2,2,-3.69,"Periodic",9,2.714,1
1,-2,2,-3.69,"Periodic",11,3.474,1
1,-4,4,-7.38,"Periodic",10,3.244,1
1,-1,1,-1.845,"Aperiodic",11,3.172,0
1,1,1,1.845,"Aperiodic",5,1.519,1
1,-2,2,-3.69,"Aperiodic",5,1.738,1
1,2,2,3.69,"Aperiodic",8,2.401,1
1,-2,2,-3.69,"Aperiodic",7,2.117,1
1,-1,1,-1.845,"Periodic",6,1.834,1
1,1,1,1.845,"Aperiodic",12,3.729,1
1,2,2,3.69,"Aperiodic",12,3.997,0
1,-1,1,-1.845,"Periodic",10,3.247,1
1,4,4,7.38,"Aperiodic",8,2.67,1
1,1,1,1.845,"Aperiodic",9,2.612,0
1,4,4,7.38,"Aperiodic",7,1.976,1
1,-2,2,-3.69,"Aperiodic",7,2.252,1
1,1,1,1.845,"Periodic",7,2.226,1
1,1,1,1.845,"Periodic",10,3.274,1
1,1,1,1.845,"Periodic",7,2.133,0
1,2,2,3.69,"Aperiodic",6,1.946,1
1,4,4,7.38,"Periodic",6,1.977,1
1,-1,1,-1.845,"Periodic",10,3.064,1
1,-4,4,-7.38,"Aperiodic",5,1.652,1
1,1,1,1.845,"Periodic",10,3.06,1
1,-1,1,-1.845,"Aperiodic",9,2.787,1
1,-4,4,-7.38,"Periodic",6,1.967,1
1,-4,4,-7.38,"Periodic",6,1.878,1
1,-2,2,-3.69,"Aperiodic",7,2.288,1
1,2,2,3.69,"Periodic",7,2.133,1
1,1,1,1.845,"Periodic",7,2.167,0
1,4,4,7.38,"Periodic",4,1.248,1
1,2,2,3.69,"Aperiodic",6,1.885,1
1,1,1,1.845,"Aperiodic",7,1.936,1
1,4,4,7.38,"Periodic",6,1.737,1
1,-4,4,-7.38,"Periodic",7,2.096,1
1,1,1,1.845,"Aperiodic",6,2.171,1
1,-4,4,-7.38,"Aperiodic",7,2.316,1
1,2,2,3.69,"Periodic",8,2.52,1
1,4,4,7.38,"Aperiodic",9,2.979,1
1,2,2,3.69,"Periodic",9,2.942,1
1,-2,2,-3.69,"Periodic",11,3.606,1
1,-4,4,-7.38,"Aperiodic",8,2.458,1
1,-1,1,-1.845,"Periodic",8,2.525,0
1,-2,2,-3.69,"Aperiodic",7,2.433,1
1,-2,2,-3.69,"Periodic",14,4.429,1
1,2,2,3.69,"Aperiodic",9,2.459,1
1,4,4,7.38,"Aperiodic",9,2.387,1
1,-4,4,-7.38,"Periodic",9,2.851,1
1,-4,4,-7.38,"Aperiodic",9,2.882,1
1,-2,2,-3.69,"Periodic",11,3.497,0
1,-1,1,-1.845,"Periodic",9,2.866,1
1,1,1,1.845,"Aperiodic",9,2.633,1
1,-2,2,-3.69,"Periodic",8,2.642,1
1,2,2,3.69,"Periodic",8,2.553,1
1,4,4,7.38,"Periodic",7,2.048,1
1,1,1,1.845,"Aperiodic",10,2.688,1
1,-1,1,-1.845,"Aperiodic",9,2.998,1
1,2,2,3.69,"Periodic",7,2.192,1
1,2,2,3.69,"Aperiodic",12,3.625,1
1,-4,4,-7.38,"Aperiodic",9,2.642,1
1,-4,4,-7.38,"Aperiodic",7,2.139,1
1,2,2,3.69,"Aperiodic",10,3.356,1
1,2,2,3.69,"Periodic",8,2.332,1
1,2,2,3.69,"Aperiodic",8,2.618,1
1,4,4,7.38,"Aperiodic",7,2.359,1
1,-2,2,-3.69,"Periodic",8,2.509,1
1,1,1,1.845,"Periodic",8,2.365,1
1,2,2,3.69,"Aperiodic",6,2.003,1
1,-1,1,-1.845,"Periodic",12,3.784,1
1,2,2,3.69,"Periodic",11,3.349,1
1,1,1,1.845,"Aperiodic",14,4.253,1
1,-4,4,-7.38,"Periodic",9,2.793,1
1,-1,1,-1.845,"Aperiodic",11,3.457,0
1,4,4,7.38,"Aperiodic",6,2.003,1
1,2,2,3.69,"Periodic",7,2.275,1
1,-4,4,-7.38,"Aperiodic",11,3.544,1
1,4,4,7.38,"Aperiodic",9,2.907,1
1,-2,2,-3.69,"Aperiodic",11,3.591,1
1,4,4,7.38,"Aperiodic",9,2.551,1
1,1,1,1.845,"Aperiodic",11,3.458,0
1,-4,4,-7.38,"Periodic",13,4.267,1
1,1,1,1.845,"Aperiodic",12,3.955,1
1,-4,4,-7.38,"Periodic",7,2.003,1
1,1,1,1.845,"Periodic",5,1.563,1
1,1,1,1.845,"Periodic",11,3.452,1
1,-1,1,-1.845,"Periodic",8,2.357,1
1,-1,1,-1.845,"Periodic",9,2.794,1
1,-4,4,-7.38,"Aperiodic",7,2.417,1
1,4,4,7.38,"Aperiodic",8,2.132,1
1,-2,2,-3.69,"Aperiodic",10,3.365,1
1,-4,4,-7.38,"Periodic",6,1.903,1
1,-2,2,-3.69,"Aperiodic",9,3.176,1
1,-1,1,-1.845,"Periodic",9,2.68,1
1,1,1,1.845,"Periodic",8,2.636,1
1,4,4,7.38,"Periodic",6,1.669,1
1,-1,1,-1.845,"Aperiodic",8,2.33,1
1,4,4,7.38,"Periodic",8,2.383,1
1,2,2,3.69,"Aperiodic",10,2.811,1
1,-2,2,-3.69,"Aperiodic",8,2.193,1
1,-2,2,-3.69,"Periodic",8,2.631,1
1,-4,4,-7.38,"Aperiodic",7,2.253,1
1,-2,2,-3.69,"Aperiodic",11,3.552,1
1,-4,4,-7.38,"Periodic",8,2.531,1
1,-1,1,-1.845,"Aperiodic",14,4.491,1
1,-2,2,-3.69,"Periodic",8,2.581,1
1,4,4,7.38,"Periodic",7,2.174,1
1,-1,1,-1.845,"Periodic",7,2.31,1
1,4,4,7.38,"Periodic",6,1.986,1
1,1,1,1.845,"Periodic",8,2.525,0
1,-2,2,-3.69,"Periodic",9,2.809,0
1,-1,1,-1.845,"Aperiodic",7,1.892,1
1,1,1,1.845,"Periodic",8,2.6,1
1,4,4,7.38,"Aperiodic",7,1.995,1
1,1,1,1.845,"Aperiodic",8,2.381,1
1,-4,4,-7.38,"Aperiodic",4,1.417,1
1,-2,2,-3.69,"Aperiodic",11,3.646,1
1,-2,2,-3.69,"Periodic",6,1.703,1
1,2,2,3.69,"Aperiodic",4,1.268,1
1,2,2,3.69,"Aperiodic",7,2.208,1
1,4,4,7.38,"Periodic",5,1.347,1
1,-4,4,-7.38,"Periodic",5,1.606,1
