"subj_idx","level","absLevel","levelMean","periodicity","nEvents","rt","response"
1,2,2,3.69,"Periodic",10,3.321,1
1,2,2,3.69,"Periodic",8,2.429,1
1,-1,1,-1.845,"Aperiodic",15,4.384,1
1,4,4,7.38,"Periodic",7,2.202,1
1,4,4,7.38,"Periodic",8,2.533,1
1,-1,1,-1.845,"Aperiodic",8,2.709,0
1,-1,1,-1.845,"Aperiodic",13,3.929,0
1,4,4,7.38,"Aperiodic",8,2.606,1
1,0,0,0,"Periodic",13,4.273,0
1,-4,4,-7.38,"Aperiodic",8,2.291,0
1,-2,2,-3.69,"Periodic",9,2.714,0
1,-2,2,-3.69,"Periodic",11,3.474,0
1,-4,4,-7.38,"Periodic",10,3.244,0
1,-1,1,-1.845,"Aperiodic",11,3.172,1
1,1,1,1.845,"Aperiodic",5,1.519,1
1,-2,2,-3.69,"Aperiodic",5,1.738,0
1,0,0,0,"Periodic",9,2.971,1
1,2,2,3.69,"Aperiodic",8,2.401,1
1,-2,2,-3.69,"Aperiodic",7,2.117,0
1,0,0,0,"Periodic",12,3.969,1
1,-1,1,-1.845,"Periodic",6,1.834,0
1,1,1,1.845,"Aperiodic",12,3.729,1
1,2,2,3.69,"Aperiodic",12,3.997,0
1,-1,1,-1.845,"Periodic",10,3.247,0
1,0,0,0,"Aperiodic",13,3.997,1
1,0,0,0,"Periodic",11,3.464,0
1,4,4,7.38,"Aperiodic",8,2.67,1
1,1,1,1.845,"Aperiodic",9,2.612,0
1,4,4,7.38,"Aperiodic",7,1.976,1
1,-2,2,-3.69,"Aperiodic",7,2.252,0
1,1,1,1.845,"Periodic",7,2.226,1
1,1,1,1.845,"Periodic",10,3.274,1
1,1,1,1.845,"Periodic",7,2.133,0
1,2,2,3.69,"Aperiodic",6,1.946,1
1,0,0,0,"Aperiodic",12,3.468,0
1,4,4,7.38,"Periodic",6,1.977,1
1,-1,1,-1.845,"Periodic",10,3.064,0
1,-4,4,-7.38,"Aperiodic",5,1.652,0
1,1,1,1.845,"Periodic",10,3.06,1
1,-1,1,-1.845,"Aperiodic",9,2.787,0
1,-4,4,-7.38,"Periodic",6,1.967,0
1,-4,4,-7.38,"Periodic",6,1.878,0
1,-2,2,-3.69,"Aperiodic",7,2.288,0
1,2,2,3.69,"Periodic",7,2.133,1
1,1,1,1.845,"Periodic",7,2.167,0
1,4,4,7.38,"Periodic",4,1.248,1
1,2,2,3.69,"Aperiodic",6,1.885,1
1,0,0,0,"Aperiodic",10,3.27,0
1,1,1,1.845,"Aperiodic",7,1.936,1
1,4,4,7.38,"Periodic",6,1.737,1
1,-4,4,-7.38,"Periodic",7,2.096,0
1,1,1,1.845,"Aperiodic",6,2.171,1
1,-4,4,-7.38,"Aperiodic",7,2.316,0
1,2,2,3.69,"Periodic",8,2.52,1
1,0,0,0,"Aperiodic",13,4.555,0
1,4,4,7.38,"Aperiodic",9,2.979,1
1,2,2,3.69,"Periodic",9,2.942,1
1,0,0,0,"Periodic",6,1.986,0
1,-2,2,-3.69,"Periodic",11,3.606,0
1,-4,4,-7.38,"Aperiodic",8,2.458,0
1,-1,1,-1.845,"Periodic",8,2.525,1
1,-2,2,-3.69,"Aperiodic",7,2.433,0
1,-2,2,-3.69,"Periodic",14,4.429,0
1,2,2,3.69,"Aperiodic",9,2.459,1
1,4,4,7.38,"Aperiodic",9,2.387,1
1,-4,4,-7.38,"Periodic",9,2.851,0
1,-4,4,-7.38,"Aperiodic",9,2.882,0
1,-2,2,-3.69,"Periodic",11,3.497,1
1,0,0,0,"Aperiodic",4,1.358,1
1,-1,1,-1.845,"Periodic",9,2.866,0
1,1,1,1.845,"Aperiodic",9,2.633,1
1,-2,2,-3.69,"Periodic",8,2.642,0
1,2,2,3.69,"Periodic",8,2.553,1
1,0,0,0,"Periodic",8,2.582,0
1,4,4,7.38,"Periodic",7,2.048,1
1,1,1,1.845,"Aperiodic",10,2.688,1
1,-1,1,-1.845,"Aperiodic",9,2.998,0
1,2,2,3.69,"Periodic",7,2.192,1
1,2,2,3.69,"Aperiodic",12,3.625,1
1,-4,4,-7.38,"Aperiodic",9,2.642,0
1,-4,4,-7.38,"Aperiodic",7,2.139,0
1,2,2,3.69,"Aperiodic",10,3.356,1
1,2,2,3.69,"Periodic",8,2.332,1
1,2,2,3.69,"Aperiodic",8,2.618,1
1,4,4,7.38,"Aperiodic",7,2.359,1
1,-2,2,-3.69,"Periodic",8,2.509,0
1,1,1,1.845,"Periodic",8,2.365,1
1,0,0,0,"Periodic",8,2.603,0
1,0,0,0,"Periodic",7,2.322,0
1,2,2,3.69,"Aperiodic",6,2.003,1
1,-1,1,-1.845,"Periodic",12,3.784,0
1,0,0,0,"Periodic",11,3.457,0
1,2,2,3.69,"Periodic",11,3.349,1
1,0,0,0,"Aperiodic",9,2.881,0
1,1,1,1.845,"Aperiodic",14,4.253,1
1,-4,4,-7.38,"Periodic",9,2.793,0
1,-1,1,-1.845,"Aperiodic",11,3.457,1
1,4,4,7.38,"Aperiodic",6,2.003,1
1,0,0,0,"Aperiodic",11,3.725,0
1,2,2,3.69,"Periodic",7,2.275,1
1,-4,4,-7.38,"Aperiodic",11,3.544,0
1,4,4,7.38,"Aperiodic",9,2.907,1
1,-2,2,-3.69,"Aperiodic",11,3.591,0
1,4,4,7.38,"Aperiodic",9,2.551,1
1,1,1,1.845,"Aperiodic",11,3.458,0
1,-4,4,-7.38,"Periodic",13,4.267,0
1,1,1,1.845,"Aperiodic",12,3.955,1
1,-4,4,-7.38,"Periodic",7,2.003,0
1,1,1,1.845,"Periodic",5,1.563,1
1,1,1,1.845,"Periodic",11,3.452,1
1,-1,1,-1.845,"Periodic",8,2.357,0
1,0,0,0,"Aperiodic",14,4.358,1
1,-1,1,-1.845,"Periodic",9,2.794,0
1,-4,4,-7.38,"Aperiodic",7,2.417,0
1,0,0,0,"Aperiodic",10,3.058,1
1,4,4,7.38,"Aperiodic",8,2.132,1
1,-2,2,-3.69,"Aperiodic",10,3.365,0
1,-4,4,-7.38,"Periodic",6,1.903,0
1,-2,2,-3.69,"Aperiodic",9,3.176,0
1,-1,1,-1.845,"Periodic",9,2.68,0
1,1,1,1.845,"Periodic",8,2.636,1
1,4,4,7.38,"Periodic",6,1.669,1
1,-1,1,-1.845,"Aperiodic",8,2.33,0
1,4,4,7.38,"Periodic",8,2.383,1
1,0,0,0,"Periodic",9,2.903,0
1,2,2,3.69,"Aperiodic",10,2.811,1
1,-2,2,-3.69,"Aperiodic",8,2.193,0
1,0,0,0,"Aperiodic",6,1.68,1
1,-2,2,-3.69,"Periodic",8,2.631,0
1,-4,4,-7.38,"Aperiodic",7,2.253,0
1,-2,2,-3.69,"Aperiodic",11,3.552,0
1,-4,4,-7.38,"Periodic",8,2.531,0
1,-1,1,-1.845,"Aperiodic",14,4.491,0
