Parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(Aperiodic),2.8794758706157104,0.15685240158918454,2.5752285359516569,2.7753551873727065,2.8788542350880606,2.9822235208048755,3.1917918159371665,0.001752810095857375
a(Periodic),2.7695440209534952,0.15490047431694767,2.4702021348426033,2.6652376590093687,2.7672729073876257,2.8718133083384103,3.080572935304053,0.0017595742931314638
a_std,0.70113005087502711,0.089133796740335322,0.55238226326028961,0.63845043584323546,0.69140416297966933,0.75463460958306128,0.90274760975055057,0.0011429062720441409
a_subj(Aperiodic).1,3.1475687620667165,0.13974713218929041,2.8812257881769208,3.0520704052228482,3.1433489081216703,3.2420814429284301,3.4275494327256579,0.0025442131384125688
a_subj(Aperiodic).2,1.7964300185503481,0.087179263202356291,1.6271774822366059,1.7376529121355728,1.7950260244524463,1.8538551374450716,1.9717107785352486,0.0015409049658594589
a_subj(Aperiodic).3,4.0586090952897091,0.17480713077503235,3.7363694799990061,3.9380195094343011,4.0516605710923699,4.1689502142871842,4.4295299742002445,0.0034042306601502819
a_subj(Aperiodic).4,2.8104009713383671,0.11970558839958746,2.5859772274243338,2.7277126821566307,2.8067898267160327,2.8894029933533405,3.0548562426245094,0.0021475796305688013
a_subj(Aperiodic).5,3.0216188119944092,0.12786139096491278,2.7794254410853578,2.9341238781894692,3.0167658930109762,3.1065732301721551,3.2798552409372932,0.0021752083264074268
a_subj(Aperiodic).6,3.2838419256879074,0.15117193438962509,3.0053378361606167,3.1786295394783739,3.2791812499480297,3.3827857227755538,3.5975155765916478,0.0027415680660824167
a_subj(Aperiodic).7,2.4446757881119017,0.09850226321524215,2.2521152156250306,2.377333853174207,2.4450701599212774,2.5117374351428472,2.6409713342720873,0.0017830309979825023
a_subj(Aperiodic).8,3.1933863972068082,0.12163979395857667,2.9667195628492395,3.109688969850029,3.188454279185184,3.2733439579163761,3.4423225512469511,0.0018102995725270583
a_subj(Aperiodic).9,2.5046565896798509,0.10553802682350424,2.3060640096063572,2.4327206353888506,2.5025612360642464,2.5745104545561226,2.7166964946071936,0.0018915816733807334
a_subj(Aperiodic).10,3.6028654469474941,0.14698288579203972,3.3210489058448145,3.5021181113892297,3.5998722981832225,3.7024579535224733,3.8974110523745571,0.0023535907437205296
a_subj(Aperiodic).11,2.175494491628478,0.090304884031790655,2.0053123242820661,2.1140890157822594,2.1722672255906885,2.2344954525677552,2.358357586822569,0.0016919149212606486
a_subj(Aperiodic).12,2.3130174343752832,0.091124742107348861,2.139593362723418,2.2500542633759504,2.3111000756707631,2.3720508442436841,2.4992057467380082,0.0018085582788045964
a_subj(Aperiodic).13,4.5484370334274642,0.21476818914406673,4.1517514791300369,4.3984835196341994,4.5400968289161723,4.688748830705558,4.9954471510915557,0.0040354961030863949
a_subj(Aperiodic).14,2.1038210675796845,0.092641553415394415,1.9301483583950112,2.0415082053417284,2.1007409703074718,2.1639544549894123,2.2952175881494328,0.0015905696380179909
a_subj(Aperiodic).15,3.0022594565474208,0.11792037500526148,2.7840840960993232,2.9204407222753326,2.99915593688362,3.0795463639240941,3.2445294663190776,0.0018193951903276915
a_subj(Aperiodic).16,2.4953648034927673,0.10484654723823839,2.2959204955648684,2.4243010006282995,2.4923700245084621,2.5649736709312654,2.7080866644783006,0.0019631139774223911
a_subj(Aperiodic).17,3.4008610672174844,0.13467184772949167,3.148226058996523,3.3070415901063885,3.3971470632536835,3.4892295471895176,3.6744862443218471,0.0021744166608449289
a_subj(Aperiodic).18,2.4913382706837028,0.10754202226473136,2.2913210285324248,2.4172075513740965,2.4872330127547944,2.5631761027251416,2.7124933690961766,0.0019951994866862794
a_subj(Aperiodic).19,3.2720537686007489,0.13548196003519414,3.0208619864475024,3.1763966499359224,3.2669935739454723,3.3603764359433388,3.5530977025682358,0.0024569087236076446
a_subj(Aperiodic).20,2.4851542284739314,0.099849050680258344,2.297541487815955,2.4157263364923285,2.4834476837897022,2.5511260956672324,2.6861451305034385,0.0018906128895083238
a_subj(Periodic).1,2.9621044422891094,0.12943062397092647,2.7218736706809254,2.8738330086087505,2.9583823532124365,3.0462172500033007,3.2252840340374118,0.0023479714038152025
a_subj(Periodic).2,1.7178594213159704,0.074775931610942231,1.5776793745286457,1.6662244306052745,1.7163336774818814,1.7675140815456616,1.8696603623737584,0.0013198114044769174
a_subj(Periodic).3,4.0155799728357948,0.17706538008167447,3.6843938651511809,3.8935855081160144,4.0125687723174881,4.1299507627109868,4.3758825447091523,0.0026877956166185971
a_subj(Periodic).4,2.7592092423838994,0.11957246622335077,2.5379949038599454,2.6765642189969041,2.7549891285852968,2.8374951207994834,3.0030915268797473,0.0020676185341456307
a_subj(Periodic).5,3.1226639876198989,0.12845217386586577,2.8704372128061078,3.0338311512195353,3.1229503894709376,3.2121609445526227,3.3699783335280928,0.0022516647165985344
a_subj(Periodic).6,3.5461596939259419,0.1610550580531262,3.2485610206650763,3.4334544204315489,3.5404729980097818,3.6525369123094436,3.8808890127238245,0.0029910711241481064
a_subj(Periodic).7,2.5279360792112646,0.10030213510965652,2.340963545136205,2.4578777550283784,2.5250640435412195,2.595238198247888,2.7330909099941869,0.0016513701009755785
a_subj(Periodic).8,3.0428526450270974,0.11927332282472204,2.820166785296486,2.9607147237710567,3.0390983224142722,3.1215633627800043,3.2883455223003919,0.001917251980260374
a_subj(Periodic).9,2.3189357194763596,0.10376874111499863,2.1233559100514996,2.2476112565362802,2.3170211268869521,2.3889028009755835,2.5329114475065664,0.0018762939376150731
a_subj(Periodic).10,3.5949199685081177,0.15743027197359186,3.29264196858289,3.4890144916083479,3.5902869693991959,3.7001521582428856,3.9092316872274502,0.0028595843667754686
a_subj(Periodic).11,1.9207175388779019,0.082375691019172706,1.7667353771642893,1.8625634591287297,1.9192554398393664,1.9752058387159783,2.0877708249082487,0.001581002027559526
a_subj(Periodic).12,2.3437525884044672,0.092910842229201776,2.1704981458287325,2.2791996514716164,2.3406026931121775,2.4048499291979768,2.5340073672258971,0.0015731051022391126
a_subj(Periodic).13,4.0637537476835428,0.17715038183156487,3.7390211199915027,3.9424400808765268,4.0551408803966078,4.1779382217105496,4.4328475487630286,0.003258642137529192
a_subj(Periodic).14,1.8276414360706221,0.078280261959424238,1.677443184759009,1.7751892782943393,1.8261694835826798,1.8788459459526572,1.9872299956318116,0.0015134491091072881
a_subj(Periodic).15,2.7981503427942238,0.10515258756809448,2.6017835828593028,2.7249008802928758,2.7957963125022345,2.8683759920601863,3.0079315973417242,0.0016519839012623262
a_subj(Periodic).16,2.5447433934151285,0.10657845753819681,2.3475045302197279,2.4719154581330631,2.5412016940980671,2.613112066385082,2.7642236177751771,0.0016084348631550103
a_subj(Periodic).17,3.1621579826181647,0.11982690938909168,2.9390380994236418,3.078503508543033,3.1576735041632942,3.2404357539588853,3.4049088047483402,0.0018516257998823348
a_subj(Periodic).18,2.2873915661424462,0.096087615451930355,2.1075544740885972,2.221650858526631,2.2845104471585351,2.3510026505499453,2.4814062839850584,0.0017012065729297067
a_subj(Periodic).19,3.2075021629458358,0.13218266307622376,2.9601410949610578,3.1176205211893961,3.2015563290031026,3.2948203984942492,3.4833382554865286,0.0023149499127246122
a_subj(Periodic).20,2.1863412255191808,0.092316934341385812,2.012131037078202,2.1227191442331517,2.1830858049587811,2.2466584751828047,2.3779474088477861,0.0015175365985091451
v(-4.Aperiodic),-1.4754409707704763,0.078814933217663266,-1.6299606206112054,-1.5289563066132956,-1.4745754430185396,-1.421611311202009,-1.3218608063269832,0.0010640929990791638
v(-4.Periodic),-1.4471660469644292,0.0792445756806439,-1.6032746921833283,-1.5010140575496265,-1.446494174950069,-1.3931410482259299,-1.2942661427296396,0.0012777466409434012
v(-2.Aperiodic),-0.77730520504629153,0.073229412199638799,-0.92232358530999037,-0.82549847604228666,-0.77779963776337235,-0.72773549202414611,-0.63514670030438569,0.0011335846888457426
v(-2.Periodic),-0.83140864039308893,0.074905791534924895,-0.97755208693338158,-0.88191842588952885,-0.8317264262441173,-0.78067728222675481,-0.68377191698757467,0.00092324910178398208
v(-1.Aperiodic),-0.33313623024815076,0.071230521511658915,-0.4721307387225725,-0.38042639160691677,-0.33256566855264852,-0.28528588011020989,-0.19552383539263468,0.00089121801091437123
v(-1.Periodic),-0.43924007848669355,0.07213927722175717,-0.58123050700359102,-0.48781192865310896,-0.43792200203265108,-0.39119342286995584,-0.2979519675917518,0.001002823846841922
v(0.Aperiodic),0.070523349544333994,0.071231705734626991,-0.071159646644465446,0.023067349142170627,0.070660127175743659,0.11777125192324001,0.2106468767588825,0.00093115717878351962
v(0.Periodic),0.044255862412225754,0.069654889354888977,-0.093034630559907516,-0.0022161735498413271,0.044163991069352843,0.091746155821519529,0.18018587650740081,0.0008213668965043403
v(1.Aperiodic),0.48614770123092294,0.070044273728497933,0.34945419018336871,0.43835038640570206,0.48654450658520104,0.53321169552540448,0.62480094912900275,0.00085536027013402333
v(1.Periodic),0.53064143104123818,0.072826728060258125,0.38691514567073548,0.48213581308277181,0.53071950260873701,0.57921287658382969,0.6752017675013644,0.00091551306436842353
v(2.Aperiodic),0.86049900976209137,0.073916336552157777,0.71715045971413871,0.81035088777174979,0.86026593621049563,0.91110011468628305,1.005507641021576,0.00087612471780264647
v(2.Periodic),0.91388497743826158,0.07383427575788569,0.77050851559337563,0.86304552803211543,0.91356169231179485,0.9639110530683076,1.0566522558410973,0.0011030828664345079
